user_id,n_features,max_weight,mean_weight
103492,41,0.2389,0.1487
103826,24,0.5504,0.1845
104082,20,0.3384,0.2145
104619,146,0.2538,0.078
104799,26,0.2989,0.1897
104891,11,0.4208,0.2813
105073,32,0.3819,0.1624
105290,1,1.0,1.0
105331,4,0.544,0.4987
105501,16,0.6113,0.2246
105560,18,0.3136,0.2296
105780,20,0.4614,0.2083
105795,14,0.4254,0.2528
105848,38,0.2819,0.1531
106048,23,0.3211,0.1953
106077,4,0.5901,0.4924
106385,78,0.3325,0.1034
106431,41,0.5926,0.1174
107212,39,0.2528,0.1512
107316,19,0.315,0.2202
107405,8,0.5262,0.334
107587,17,0.4041,0.2237
107642,8,0.454,0.3401
107922,15,0.4068,0.2445
108159,20,0.4903,0.2026
108536,5,0.6578,0.4173
108860,24,0.4323,0.1865
108865,27,0.4541,0.1712
108874,22,0.3234,0.2033
109389,59,0.2028,0.1243
109463,78,0.2964,0.1038
109576,17,0.3631,0.2339
109697,33,0.3576,0.1634
109716,22,0.3313,0.2029
109925,52,0.3778,0.1246
109976,24,0.3104,0.1956
110022,81,0.1557,0.1067
110387,26,0.3073,0.1855
110462,17,0.389,0.2268
110533,19,0.365,0.2136
110556,21,0.5275,0.1895
110801,9,0.4632,0.315
110855,31,0.3356,0.1716
110864,15,0.3645,0.2471
110955,73,0.2894,0.1089
112215,11,0.505,0.2851
112877,25,0.2841,0.1924
113516,52,0.3986,0.1263
113609,54,0.3224,0.1282
114042,43,0.3962,0.1375
114125,34,0.413,0.1553
114303,9,0.4169,0.3191
114648,14,0.3547,0.2608
114981,42,0.424,0.1404
115202,19,0.3616,0.2205
115284,16,0.7722,0.1915
116297,33,0.3038,0.1631
116721,29,0.2785,0.1788
116739,36,0.2518,0.1601
116785,21,0.4075,0.2063
117006,18,0.3232,0.2307
117242,33,0.375,0.163
117339,16,0.3224,0.2401
117520,14,0.3347,0.261
117715,29,0.279,0.1774
117798,42,0.2245,0.1488
118144,21,0.3188,0.2074
118737,23,0.3342,0.1984
118851,7,0.5798,0.3507
119243,5,0.6068,0.4188
119359,12,0.4496,0.2791
120336,38,0.2361,0.1561
120376,34,0.2429,0.1622
120420,38,0.4342,0.1444
120491,34,0.6709,0.132
120636,7,0.5348,0.3585
121173,1,1.0,1.0
121187,13,0.4028,0.2653
121553,39,0.2708,0.1505
121950,41,0.2617,0.1472
122068,63,0.165,0.122
122152,43,0.3716,0.1436
122351,19,0.3284,0.2197
122415,33,0.5202,0.1504
122860,4,0.582,0.4897
123132,7,0.5739,0.3622
123269,9,0.4854,0.3171
123308,6,0.5406,0.3948
123391,42,0.583,0.1268
123544,18,0.4339,0.2187
123692,34,0.277,0.1639
124203,167,0.3212,0.068
124670,61,0.2349,0.1215
124802,6,0.511,0.3945
124888,36,0.2852,0.1576
125048,29,0.3962,0.1694
125349,29,0.3018,0.1777
125689,83,0.2563,0.1032
126018,13,0.4343,0.2577
126167,33,0.2946,0.1637
126239,46,0.1958,0.1416
126433,48,0.4853,0.1265
127013,55,0.3193,0.1236
127274,13,0.3736,0.2693
127311,64,0.6366,0.0971
128196,39,0.2903,0.1494
128656,101,0.6332,0.0705
128833,16,0.364,0.2413
128955,37,0.6233,0.1315
129611,14,0.4169,0.2582
129937,20,0.5607,0.203
129949,20,0.3797,0.2123
130412,22,0.2637,0.2096
130791,35,0.2626,0.1621
131233,36,0.3535,0.1529
131439,8,0.4235,0.3504
131489,104,0.3879,0.0901
131755,47,0.2504,0.1407
132191,163,0.3948,0.0669
132271,16,0.3403,0.2417
132834,38,0.2708,0.1535
133571,3,0.6038,0.5765
133850,27,0.3274,0.1792
133892,21,0.5058,0.1959
133986,42,0.3154,0.1442
134083,23,0.4096,0.2004
134186,4,0.5893,0.4956
134192,24,0.5729,0.179
134403,16,0.4468,0.2394
134530,22,0.3324,0.2047
134565,58,0.3492,0.1215
134629,13,0.3731,0.2709
134806,18,0.3747,0.2216
134984,50,0.2214,0.1348
135017,28,0.2609,0.1838
135024,57,0.4036,0.1226
135053,40,0.5405,0.1386
135055,20,0.3058,0.2156
135106,25,0.2934,0.1902
135364,15,0.4847,0.2438
135561,15,0.4633,0.2397
135743,62,0.4035,0.1158
135855,66,0.5219,0.0989
136153,11,0.4606,0.2905
136204,17,0.3455,0.2377
136223,61,0.4214,0.1156
136319,34,0.2554,0.1657
136477,17,0.3462,0.2308
136610,6,0.644,0.3853
136715,23,0.3432,0.1996
136990,22,0.3298,0.2012
137166,41,0.2454,0.1497
137582,4,0.7264,0.4529
137730,10,0.4195,0.3103
138132,4,0.6472,0.4919
138484,3,0.6766,0.5573
138500,2,0.814,0.6974
139225,31,0.2833,0.172
139421,35,0.2572,0.163
139506,36,0.2518,0.1602
140105,34,0.2465,0.1644
140586,2,0.7167,0.707
140646,57,0.2668,0.1254
140692,44,0.2702,0.1428
140709,10,0.4239,0.307
140736,79,0.1723,0.1081
140778,20,0.3226,0.2177
141168,4,0.5683,0.4927
141489,105,0.3327,0.086
141649,33,0.2485,0.1682
141701,21,0.3526,0.21
142127,18,0.3358,0.2248
142132,29,0.6085,0.1592
142232,12,0.43,0.2789
142292,18,0.315,0.2315
142348,1,1.0,1.0
142403,6,0.5319,0.3962
142838,24,0.3133,0.1932
143065,33,0.2838,0.164
143280,20,0.4059,0.2066
143376,54,0.3542,0.1258
143854,60,0.1797,0.1247
143966,4,0.6972,0.4798
144138,4,0.5756,0.498
144383,248,0.2867,0.0536
144773,82,0.2698,0.1
145069,17,0.3325,0.2307
145384,31,0.5267,0.1636
146318,105,0.1731,0.0936
146634,23,0.3238,0.1953
147107,25,0.3112,0.1908
147358,94,0.3387,0.0928
147362,157,0.2638,0.0703
147451,88,0.3895,0.0942
147566,60,0.466,0.1156
147571,25,0.4159,0.19
148093,14,0.3103,0.2648
148226,39,0.2519,0.1523
148393,45,0.2809,0.1417
148507,32,0.2716,0.1696
148641,61,0.2444,0.1204
148725,87,0.1646,0.1033
148948,23,0.3421,0.1969
149026,56,0.3387,0.1208
149070,25,0.3291,0.1887
149442,55,0.2131,0.1282
149474,34,0.2687,0.162
149518,31,0.2282,0.1747
150100,27,0.7096,0.152
150176,28,0.296,0.1802
150777,5,0.6037,0.4269
150893,18,0.3403,0.2252
151455,25,0.2636,0.1901
151562,51,0.2368,0.1336
151843,38,0.4586,0.1317
151865,28,0.261,0.1822
151971,5,0.6344,0.4159
151999,4,0.7004,0.4603
152144,35,0.3138,0.1631
152533,41,0.4846,0.1297
152621,17,0.3513,0.2353
152654,4,0.5611,0.4871
152789,58,0.2034,0.126
152865,54,0.1956,0.1322
152866,5,0.5816,0.4243
153041,35,0.3664,0.1588
153327,12,0.4664,0.2695
153341,14,0.3994,0.2497
153412,33,0.3409,0.1619
153689,18,0.31,0.2287
153777,17,0.358,0.2307
153843,33,0.2503,0.1674
153865,32,0.5235,0.1581
154420,27,0.2954,0.183
154974,12,0.4161,0.2763
155079,52,0.3579,0.1173
155237,9,0.5224,0.3115
155869,14,0.4127,0.2587
155903,45,0.4201,0.1312
156306,22,0.3462,0.2047
156311,27,0.4023,0.1799
156424,9,0.4893,0.3167
156774,44,0.4228,0.1382
157101,29,0.34,0.1769
157460,25,0.2998,0.1911
157463,32,0.2965,0.1697
157491,128,0.323,0.0816
157524,43,0.2321,0.1459
158335,31,0.4298,0.1621
158336,20,0.3518,0.2133
158722,32,0.2723,0.1693
158842,14,0.4104,0.2572
158898,30,0.2756,0.1755
158948,53,0.2004,0.1324
159335,10,0.5619,0.292
159557,40,0.3651,0.1441
159570,54,0.2199,0.1292
159662,18,0.4042,0.2239
159690,86,0.1919,0.1023
159740,75,0.2,0.1111
159773,14,0.4146,0.2604
159898,25,0.328,0.1935
159992,29,0.3556,0.1636
160122,18,0.5518,0.2051
160516,8,0.576,0.3342
160672,82,0.2684,0.1009
