group_id,n_features,max_tfidf,mean_tfidf
15438,19,0.4561,0.0053
15458,20,0.3934,0.0053
15476,3,0.6376,0.0022
15563,9,0.5795,0.0036
15614,24,0.5389,0.0055
15617,18,0.5068,0.005
15628,16,0.6794,0.0043
15663,3,0.7578,0.0021
15668,7,0.5659,0.0033
15684,4,0.7041,0.0024
15785,16,0.4692,0.0047
15826,18,0.3488,0.0051
15874,17,0.4999,0.0049
16093,7,0.5313,0.0032
16144,8,0.5502,0.0033
16190,6,0.4495,0.0031
16232,4,0.6982,0.0024
16311,12,0.3742,0.0042
16374,4,0.7065,0.0024
16376,21,0.34,0.0055
16403,10,0.4278,0.0038
16461,15,0.5657,0.0043
16476,5,0.552,0.0028
16878,16,0.4562,0.0048
16929,19,0.4185,0.0051
17088,4,0.7083,0.0024
17095,4,0.5813,0.0025
17173,7,0.5474,0.0033
17285,8,0.9159,0.0025
17343,18,0.3557,0.0052
17369,9,0.592,0.0036
17372,12,0.5365,0.0041
17411,4,0.673,0.0024
17607,17,0.3256,0.005
17637,3,0.5956,0.0022
17656,21,0.3751,0.0055
17674,2,0.7262,0.0018
17732,16,0.5092,0.0045
17746,14,0.3986,0.0045
17770,18,0.3571,0.0052
17802,4,0.5921,0.0025
17874,18,0.3971,0.0051
17910,15,0.5161,0.0044
17946,19,0.5217,0.005
18152,12,0.4298,0.0043
18155,4,0.6275,0.0024
18208,6,0.5263,0.0031
18260,13,0.502,0.0042
18379,3,0.8295,0.002
18398,6,0.5465,0.003
18405,7,0.5309,0.0031
18407,15,0.4123,0.0047
18433,14,0.4758,0.0044
18485,9,0.5621,0.0036
18509,19,0.4585,0.0047
18521,15,0.3665,0.0047
18614,13,0.6739,0.0038
18666,19,0.4764,0.0048
18720,7,0.5645,0.0032
18890,16,0.441,0.0048
18949,19,0.3384,0.0054
19161,7,0.5797,0.0032
19190,4,0.5532,0.0025
19243,8,0.4078,0.0035
19257,21,0.3384,0.0054
19301,15,0.6581,0.004
19400,4,0.5321,0.0025
19451,16,0.5834,0.0045
19477,13,0.4553,0.0044
19672,14,0.7012,0.0035
19758,4,0.5911,0.0025
19915,7,0.6185,0.0031
19966,4,0.6737,0.0024
20007,16,0.3795,0.0049
20028,4,0.6542,0.0025
20159,18,0.5204,0.0042
20163,4,0.7206,0.0023
20187,18,0.3947,0.005
20208,18,0.6013,0.0046
20231,21,0.5732,0.0052
20237,14,0.4377,0.0046
20266,7,0.4955,0.0033
20310,16,0.7083,0.004
20316,5,0.7894,0.0025
20440,15,0.6536,0.004
20543,18,0.4975,0.005
20572,16,0.4949,0.0047
20694,9,0.468,0.0037
20860,2,0.8627,0.0017
20952,5,0.6378,0.0027
21120,9,0.4763,0.0035
21375,4,0.5404,0.0025
21450,18,0.6563,0.0044
21648,29,0.3123,0.0065
21704,14,0.4033,0.0045
21958,2,0.7773,0.0018
21977,8,0.6426,0.0033
22029,14,0.2875,0.0047
22059,19,0.4151,0.0052
22210,20,0.7333,0.0044
22303,18,0.3009,0.0052
22370,20,0.393,0.0054
22391,19,0.3708,0.0052
22556,16,0.407,0.0049
22648,16,0.3797,0.0049
22899,13,0.4312,0.0043
22917,13,0.4743,0.0043
23169,7,0.6412,0.0031
23172,18,0.4733,0.0048
23173,5,0.5583,0.0028
23242,19,0.5292,0.0044
23519,7,0.4955,0.0033
23594,20,0.4139,0.0052
23624,6,0.5327,0.0031
23666,16,0.6516,0.0044
23850,15,0.3532,0.0048
23954,4,0.626,0.0024
24073,9,0.4826,0.0037
24158,19,0.3472,0.0054
24188,12,0.5188,0.0042
24250,8,0.6056,0.0034
24607,10,0.4219,0.0039
24851,4,0.6548,0.0024
24998,8,0.4899,0.0034
25022,7,0.4991,0.0033
25045,7,0.6493,0.0031
25398,7,0.5557,0.0033
25404,19,0.4867,0.0047
25414,18,0.3635,0.0052
25471,18,0.3917,0.0051
25570,8,0.4215,0.0035
25633,22,0.5191,0.0053
25705,4,0.7068,0.0024
25775,6,0.5983,0.003
25830,17,0.6274,0.0043
25862,25,0.2928,0.006
25871,19,0.4721,0.0052
25945,10,0.7074,0.0035
26068,6,0.5489,0.003
26123,9,0.9588,0.0022
26317,8,0.5335,0.0034
26325,7,0.4104,0.0033
26504,6,0.7598,0.0028
26677,13,0.4136,0.0043
26730,10,0.4746,0.0039
26771,22,0.6252,0.0051
26862,15,0.376,0.0047
26945,15,0.3594,0.0047
27170,7,0.4046,0.0033
27180,12,0.6713,0.0037
27234,3,0.7473,0.0021
27266,12,0.4811,0.0041
27418,2,0.736,0.0018
27578,16,0.39,0.0048
27798,16,0.3854,0.0049
28007,18,0.4136,0.0049
28042,7,0.4558,0.0033
28094,15,0.5168,0.0046
28201,20,0.4317,0.0049
28208,20,0.3606,0.0053
28218,11,0.7282,0.0036
28257,3,0.6731,0.0021
28259,6,0.5516,0.003
28563,7,0.431,0.0033
28610,15,0.41,0.0047
28727,4,0.6774,0.0024
28793,19,0.4305,0.0052
28879,18,0.5381,0.0046
29005,8,0.7273,0.0029
29262,8,0.6921,0.003
29279,17,0.399,0.0049
29414,5,0.5922,0.0027
29489,7,0.83,0.0028
29515,9,0.527,0.0036
29563,8,0.6308,0.0031
29571,25,0.5029,0.0058
29611,12,0.4898,0.0041
29617,21,0.4592,0.0054
29986,18,0.4832,0.0049
30004,9,0.4669,0.0037
30071,10,0.3444,0.004
30885,19,0.4476,0.0049
30953,18,0.746,0.0042
30996,17,0.4241,0.005
31139,18,0.3932,0.0052
31437,4,0.5755,0.0025
31500,20,0.3307,0.0055
31621,19,0.5059,0.0049
31725,6,0.675,0.0029
31828,15,0.4456,0.0046
31829,17,0.3633,0.005
31945,9,0.6442,0.0035
32087,5,0.5451,0.0027
32088,7,0.4567,0.0032
32172,14,0.4826,0.0044
32344,22,0.3628,0.0055
32415,8,0.5857,0.0032
