user_1,user_2,similarity
2918935,978630,0.4427
2918935,1839715,0.4311
2140806,998723,0.6149
2140806,1693458,0.5833
2140806,945536,0.5833
2140806,1149018,0.5833
2140806,766618,0.5625
218371,310876,0.4959
218371,288349,0.4939
218371,441513,0.4878
218371,7889,0.4599
218371,208298,0.4463
302998,1068155,0.6054
302998,1447109,0.5381
302998,2306096,0.5322
302998,1862748,0.5311
302998,384552,0.5189
594965,2408838,0.6325
594965,4507684,0.6139
594965,430324,0.6136
594965,181181,0.5916
594965,2324735,0.5916
1074319,1060638,0.5938
1074319,717937,0.5539
1074319,1180179,0.5394
1074319,363384,0.4975
1074319,2081693,0.4975
3800441,4162006,0.4226
3800441,1717067,0.4029
3800441,2429993,0.4029
3800441,1714995,0.4009
3800441,2642218,0.3989
425649,3500871,0.7666
425649,179041,0.7006
425649,1385451,0.6964
425649,2609563,0.6816
425649,16661,0.673
519442,350492,0.5774
519442,1950047,0.5345
519442,1693108,0.527
519442,339543,0.527
519442,1693253,0.5025
